Date,Confirmed,Recovered,Deaths,Region
2020-03-28T06:03:50.950Z,0,0,0,Карагандинская область
2020-03-28T06:03:50.950Z,0,0,0,Костанайская область
2020-03-28T06:03:50.950Z,1,0,0,Кызылординская область
2020-03-28T06:03:50.950Z,0,0,0,Туркестанская область
2020-03-28T07:03:57.461Z,204,14,1,Казахстан
2020-03-28T07:03:57.461Z,117,12,1,Нур-Султан
2020-03-28T07:03:57.461Z,58,2,0,Алматы
2020-03-28T07:03:57.461Z,4,0,0,Караганда
2020-03-28T07:03:57.461Z,2,0,0,Шымкент
2020-03-28T07:03:57.461Z,5,0,0,Акмолинская область
2020-03-28T07:03:57.461Z,4,0,0,Алматинская область
2020-03-28T07:03:57.461Z,4,0,0,Атырауская область
2020-03-28T07:03:57.461Z,1,0,0,Актюбинская область
2020-03-28T07:03:57.461Z,3,0,0,Жамбылская область
2020-03-28T07:03:57.461Z,1,0,0,Павлодарская область
2020-03-28T07:03:57.461Z,1,0,0,Северо-Казахстанская область
2020-03-28T07:03:57.461Z,1,0,0,Мангистауская область
2020-03-28T07:03:57.461Z,2,0,0,Восточно-Казахстанская область
2020-03-28T07:03:57.461Z,0,0,0,Западно-Казахстанская область
2020-03-28T07:03:57.461Z,0,0,0,Карагандинская область
2020-03-28T07:03:57.461Z,0,0,0,Костанайская область
2020-03-28T07:03:57.461Z,1,0,0,Кызылординская область
2020-03-28T07:03:57.461Z,0,0,0,Туркестанская область
2020-03-28T08:03:51.205Z,204,14,1,Казахстан
2020-03-28T08:03:51.205Z,117,12,1,Нур-Султан
2020-03-28T08:03:51.205Z,58,2,0,Алматы
2020-03-28T08:03:51.205Z,4,0,0,Караганда
2020-03-28T08:03:51.205Z,2,0,0,Шымкент
2020-03-28T08:03:51.205Z,5,0,0,Акмолинская область
2020-03-28T08:03:51.205Z,4,0,0,Алматинская область
2020-03-28T08:03:51.205Z,4,0,0,Атырауская область
2020-03-28T08:03:51.205Z,1,0,0,Актюбинская область
2020-03-28T08:03:51.205Z,3,0,0,Жамбылская область
2020-03-28T08:03:51.205Z,1,0,0,Павлодарская область
2020-03-28T08:03:51.205Z,1,0,0,Северо-Казахстанская область
2020-03-28T08:03:51.205Z,1,0,0,Мангистауская область
2020-03-28T08:03:51.205Z,2,0,0,Восточно-Казахстанская область
2020-03-28T08:03:51.205Z,0,0,0,Западно-Казахстанская область
2020-03-28T08:03:51.205Z,0,0,0,Карагандинская область
2020-03-28T08:03:51.205Z,0,0,0,Костанайская область
2020-03-28T08:03:51.205Z,1,0,0,Кызылординская область
2020-03-28T08:03:51.205Z,0,0,0,Туркестанская область
2020-03-28T09:03:53.261Z,204,14,1,Казахстан
2020-03-28T09:03:53.261Z,117,12,1,Нур-Султан
2020-03-28T09:03:53.261Z,58,2,0,Алматы
2020-03-28T09:03:53.261Z,4,0,0,Караганда
2020-03-28T09:03:53.261Z,2,0,0,Шымкент
2020-03-28T09:03:53.261Z,5,0,0,Акмолинская область
2020-03-28T09:03:53.261Z,4,0,0,Алматинская область
2020-03-28T09:03:53.261Z,4,0,0,Атырауская область
2020-03-28T09:03:53.261Z,1,0,0,Актюбинская область
2020-03-28T09:03:53.261Z,3,0,0,Жамбылская область
2020-03-28T09:03:53.261Z,1,0,0,Павлодарская область
2020-03-28T09:03:53.261Z,1,0,0,Северо-Казахстанская область
2020-03-28T09:03:53.261Z,1,0,0,Мангистауская область
2020-03-28T09:03:53.261Z,2,0,0,Восточно-Казахстанская область
2020-03-28T09:03:53.261Z,0,0,0,Западно-Казахстанская область
2020-03-28T09:03:53.261Z,0,0,0,Карагандинская область
2020-03-28T09:03:53.261Z,0,0,0,Костанайская область
2020-03-28T09:03:53.261Z,1,0,0,Кызылординская область
2020-03-28T09:03:53.261Z,0,0,0,Туркестанская область
2020-03-28T10:03:35.460Z,204,15,1,Казахстан
2020-03-28T10:03:35.460Z,117,13,1,Нур-Султан
2020-03-28T10:03:35.460Z,58,2,0,Алматы
2020-03-28T10:03:35.460Z,4,0,0,Караганда
2020-03-28T10:03:35.460Z,2,0,0,Шымкент
2020-03-28T10:03:35.460Z,5,0,0,Акмолинская область
2020-03-28T10:03:35.460Z,4,0,0,Алматинская область
2020-03-28T10:03:35.460Z,4,0,0,Атырауская область
2020-03-28T10:03:35.460Z,1,0,0,Актюбинская область
2020-03-28T10:03:35.460Z,3,0,0,Жамбылская область
2020-03-28T10:03:35.460Z,1,0,0,Павлодарская область
2020-03-28T10:03:35.460Z,1,0,0,Северо-Казахстанская область
2020-03-28T10:03:35.460Z,1,0,0,Мангистауская область
2020-03-28T10:03:35.460Z,2,0,0,Восточно-Казахстанская область
2020-03-28T10:03:35.460Z,0,0,0,Западно-Казахстанская область
2020-03-28T10:03:35.460Z,0,0,0,Карагандинская область
2020-03-28T10:03:35.460Z,0,0,0,Костанайская область
2020-03-28T10:03:35.460Z,1,0,0,Кызылординская область
2020-03-28T10:03:35.460Z,0,0,0,Туркестанская область
2020-03-28T11:03:59.963Z,204,15,1,Казахстан
2020-03-28T11:03:59.963Z,117,13,1,Нур-Султан
2020-03-28T11:03:59.963Z,58,2,0,Алматы
2020-03-28T11:03:59.963Z,4,0,0,Караганда
2020-03-28T11:03:59.963Z,2,0,0,Шымкент
2020-03-28T11:03:59.963Z,5,0,0,Акмолинская область
2020-03-28T11:03:59.963Z,4,0,0,Алматинская область
2020-03-28T11:03:59.963Z,4,0,0,Атырауская область
2020-03-28T11:03:59.963Z,1,0,0,Актюбинская область
2020-03-28T11:03:59.963Z,3,0,0,Жамбылская область
2020-03-28T11:03:59.963Z,1,0,0,Павлодарская область
2020-03-28T11:03:59.963Z,1,0,0,Северо-Казахстанская область
2020-03-28T11:03:59.963Z,1,0,0,Мангистауская область
2020-03-28T11:03:59.963Z,2,0,0,Восточно-Казахстанская область
2020-03-28T11:03:59.963Z,0,0,0,Западно-Казахстанская область
2020-03-28T11:03:59.963Z,0,0,0,Карагандинская область
2020-03-28T11:03:59.963Z,0,0,0,Костанайская область
2020-03-28T11:03:59.963Z,1,0,0,Кызылординская область
2020-03-28T11:03:59.963Z,0,0,0,Туркестанская область
